semeval_id,sentiment_num,sentiment_orig,source,text,tweet_id
18516728,-1,negative,Semeval-train,Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out),264249301910310912
147088367,1,positive,Semeval-train,with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.,264105751826538496
332474633,-1,negative,Semeval-train,"Talking about ACT's &amp;&amp; SAT's, deciding where I want to go to college, applying to colleges and everything about college stresses me out.",264094586689953792
557103111,-1,negative,Semeval-train,"They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll",254941790757601280
382403760,0,neutral,Semeval-train,"Im bringing the monster load of candy tomorrow, I just hope it doesn't get all squiched",264169034155696128
344222239,0,neutral,Semeval-train,"Apple software, retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://t.co/X49ZEOsG",263192091700654080
812957996,1,positive,Semeval-train,@oluoch @victor_otti @kunjand I just watched it! Sridevi's comeback.... U remember her from the 90s?? Sun mornings on NTA ;),263398998675693568
332530284,0,neutral,Semeval-train,#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://t.co/zgUXpcnC #LiveWireAthletics,260200142420992000
61903760,1,positive,Semeval-train,@MsSheLahY I didnt want to just pop up... but yep we have chapel hill next wednesday you should come.. and shes great ill tell her you asked,264087629237202944
29023839,0,neutral,Semeval-train,@Alyoup005 @addicted2haley hmmmm  November is an odd release date if true but if it becomes big enough maybe she could sing it at Grammys,250692636330049536
564843841,0,neutral,Semeval-train,"#Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehran, Oct 30, IRNA -- Secretary... http://t.co/9wWvxEbf",263304719471087616
183985016,1,positive,Semeval-train,Good Morning Becky ! Thursday is going to be Fantastic ! @SwedenG @DJ4JG @Grdina @Paverlayer @FSBull @RevkahJC @DicksTrash @borderfox116,263956867787673600
616166780,0,neutral,Semeval-train,"Expect light-moderate rains over E. Visayas; Cebu, Bohol, Samar &amp; Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:)",263975113404342272
10115042,1,positive,Semeval-train,One ticket left for the @49ers game tomorrow!  Don't miss the rematch of the NFC Championship game against the NY Giants!  Hit me up!,257343699460173824
348691527,-1,negative,Semeval-train,"AFC away fans on Saturday. All this stuff about the 'she said no' chant. It's bollocks. When he has the ball, just turn your back on him.",264125591337463808
183011479,-1,negative,Semeval-train,Why is it so hard to find the @TVGuideMagazine these days? Went to 3 stores for the Castle cover issue. NONE. Will search again tomorrow...,264259830590603264
